failcause
codename,assistedstatus,manualstatus,GET/xox,POST/xox,GET/xox/id,DEL/xox/id,GET/xox/id/board,GET/xox/id/players,GET/xox/id/players/id/actions,POST/xox/id/players/id/actions,GET/bookstore/isbns,GET/bookstore/isbns/isbn,PUT/bookstore/isbns/isbn,GET/bookstore/stocklocations,GET/bookstore/stocklocations/stocklocation,GET/bookstore/stocklocations/stocklocation/isbns,POST/bookstore/stocklocations/stocklocation/isbns,GET/bookstore/isbns/isbn/comments,POST/bookstore/isbns/isbn/comments,DEL/bookstore/isbns/isbn/comments,POST/bookstore/isbns/isbn/comments/comment,DEL/bookstore/isbns/isbn/comments/comment
Blue-Fox,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , 
Blue-Koala,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS, , , , , , , 
Blue-Raccoon,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , , 
Blue-Squid,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, ,PASS,PASS
Blue-Turtle,OK,NR,PASS,PASS, , ,PASS, , , , , , , , , , , , , , , 
Blue-Unicorn,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, , , , 
Blue-Zebra,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , , 
Green-Fox,OK,NR,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , , , , , , , , , , 
Green-Koala,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , , 
Green-Raccoon,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , 
Green-Squid,OK,NR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , , , , , , 
Green-Turtle,OK,NR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , , , , , , 
Green-Unicorn,OK,NR,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , , , , , , 
Green-Zebra,OK,OK,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Fox,OK,OK, , , , , , , , ,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , , 
Red-Koala,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Raccoon,OK,NR, , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , 
Red-Squid,OK,NR, , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Turtle,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Unicorn,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Red-Zebra,OK,OK,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Fox,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Koala,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Raccoon,OK,NC, , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , 
Yellow-Squid,OK,OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Turtle,OK,OK,PASS,PASS, , ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Unicorn,OK,OK,PASS, , , ,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Yellow-Zebra,OK,OK,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
