codename,failcause
Blue-Fox,OK
Blue-Koala,OK
Blue-Raccoon,OK
Blue-Squid,OK
Blue-Turtle,Incorrect_Launcher
Blue-Unicorn,OK
Blue-Zebra,OK
Green-Fox,Unresolved_Spring_Beans
Green-Koala,OK
Green-Raccoon,OK
Green-Squid,Unresolved_Spring_Beans
Green-Turtle,Incorrect_Launcher
Green-Unicorn,Unresolved_Spring_Beans
Green-Zebra,OK
Red-Fox,OK
Red-Koala,OK
Red-Raccoon,Legacy_Tests
Red-Squid,Incorrect_Launcher
Red-Turtle,OK
Red-Unicorn,OK
Red-Zebra,OK
Yellow-Fox,OK
Yellow-Koala,OK
Yellow-Raccoon,Missing_pom.xml
Yellow-Squid,OK
Yellow-Turtle,OK
Yellow-Unicorn,OK
Yellow-Zebra,OK
