codename,1easiermeth,2confidentinterface,3preferredaproachlegacy,7moreintuitive,8moreconfidenttests,9preferredtoolfuture
Blue-Fox,TC,IDE,TC,TC,IDE,-
Blue-Koala,TC,TC,TC,TC,TC,TC
Blue-Raccoon,TC,IDE,IDE,IDE,IDE,IDE
Blue-Squid,-,TC,IDE,TC,IDE,-
Blue-Turtle,TC,TC,TC,TC,TC,TC
Blue-Unicorn,TC,TC,TC,TC,TC,TC
Blue-Zebra,TC,IDE,TC,TC,IDE,TC
Green-Fox,TC,TC,IDE,IDE,TC,IDE
Green-Koala,TC,TC,TC,TC,-,IDE
Green-Raccoon,TC,TC,TC,TC,TC,TC
Green-Squid,TC,TC,TC,TC,TC,-
Green-Turtle,TC,IDE,IDE,IDE,IDE,IDE
Green-Unicorn,TC,TC,TC,TC,TC,IDE
Green-Zebra,TC,TC,TC,TC,IDE,IDE
Red-Fox,TC,IDE,IDE,TC,IDE,-
Red-Koala,TC,TC,IDE,TC,TC,IDE
Red-Raccoon,TC,TC,TC,TC,IDE,TC
Red-Squid,TC,TC,TC,TC,TC,TC
Red-Turtle,TC,TC,TC,TC,TC,IDE
Red-Unicorn,TC,TC,IDE,TC,TC,-
Red-Zebra,TC,TC,IDE,TC,IDE,IDE
Yellow-Fox,IDE,IDE,IDE,TC,IDE,IDE
Yellow-Koala,TC,IDE,-,TC,TC,-
Yellow-Raccoon,TC,IDE,IDE,TC,IDE,IDE
Yellow-Squid,TC,TC,TC,TC,TC,IDE
Yellow-Turtle,TC,TC,-,TC,IDE,IDE
Yellow-Unicorn,TC,TC,TC,TC,IDE,IDE
Yellow-Zebra,TC,IDE,IDE,TC,TC,IDE
