codename,javaskill,springskill,mavenskill,touchcoreskill,unixskill,restskill,singletonskill,reflectionskill
Yellow-Squid,2,1,1,1,3,4,5,4
Yellow-Raccoon,4,1,2,3,5,3,2,3
Yellow-Zebra,3,1,2,4,4,4,4,1
Yellow-Fox,4,4,3,1,4,2,5,4
Yellow-Unicorn,3,3,3,4,4,4,5,3
Yellow-Turtle,4,2,3,5,4,4,5,3
Yellow-Koala,2,1,2,1,4,3,5,4
Blue-Squid,4,4,4,1,4,5,5,3
Blue-Raccoon,3,1,2,2,4,3,5,1
Blue-Zebra,3,1,2,3,2,4,5,4
Blue-Fox,2,1,2,4,5,3,5,4
Blue-Unicorn,4,3,3,2,4,4,5,2
Blue-Turtle,4,3,4,4,5,4,5,4
Blue-Koala,4,1,3,1,3,2,5,3
Red-Squid,3,1,2,1,4,2,5,1
Red-Raccoon,3,3,3,1,4,4,1,1
Red-Zebra,3,1,2,1,4,2,3,3
Red-Fox,3,2,3,1,4,2,5,4
Red-Unicorn,4,4,2,3,4,5,1,3
Red-Turtle,2,4,3,4,4,5,5,2
Red-Koala,4,2,1,5,4,5,5,4
Green-Squid,3,2,2,3,3,3,2,1
Green-Raccoon,2,2,1,1,2,5,5,4
Green-Zebra,2,1,2,1,5,3,4,3
Green-Fox,3,3,2,2,4,4,3,4
Green-Unicorn,3,2,5,1,4,3,5,4
Green-Turtle,3,3,3,4,4,4,3,3
Green-Koala,4,2,3,5,5,4,5,4
