codename,manualstatus,manualsuccessrate,assistedstatus,assistedsuccessrate
Blue-Fox,OK,8-8,OK,8-12
Blue-Raccoon,OK,8-8,OK,7-12
Blue-Turtle,OK,3-8,NR,0
Blue-Unicorn,OK,8-8,OK,5-12
Blue-Zebra,OK,8-8,OK,7-12
Green-Fox,OK,7-8,NR,0
Green-Koala,OK,8-8,OK,7-12
Green-Raccoon,OK,6-8,OK,6-12
Green-Squid,OK,8-8,NR,0
Green-Turtle,OK,8-8,NR,0
Green-Unicorn,OK,8-8,NR,0
Green-Zebra,OK,4-8,OK,12-12
Red-Fox,OK,6-12,OK,0-8
Red-Koala,OK,12-12,OK,8-8
Red-Raccoon,OK,10-12,NR,0
Red-Squid,OK,12-12,NR,0
Red-Turtle,OK,12-12,OK,7-8
Red-Unicorn,OK,12-12,OK,6-8
Yellow-Fox,OK,12-12,OK,8-8
Yellow-Koala,OK,12-12,OK,6-8
Yellow-Raccoon,OK,6-12,NC,0
Yellow-Squid,OK,12-12
Yellow-Turtle,OK,12-12,OK,3-8
Yellow-Unicorn,OK,12-12,OK,3-8
Yellow-Zebra,OK,12-12,OK,4-8
